Fecha,total_activo
2008-01-31,110449011
2008-02-29,109541051
2008-03-31,110611928
2008-04-30,110478780
2008-05-31,112179302
2008-06-30,113539380
2008-07-31,114201558
2008-08-31,115341990
2008-09-30,116738655
2008-10-31,119194774
2008-11-30,120703401
2008-12-31,122004968
2009-01-31,123639375
2009-02-28,123417464
2009-03-31,124920781
2009-04-30,124759491
2009-05-31,126353479
2009-06-30,127216945
2009-07-31,128086638
2009-08-31,128161966
2009-09-30,129026297
2009-10-31,130253726
2009-11-30,131665260
2009-12-31,131627943
2010-01-31,134037751
2010-02-28,133194334
2010-03-31,132564678
2010-04-30,133626169
2010-05-31,135406927
2010-06-30,137419611
2010-07-31,137041416
2010-08-31,138367932
2010-09-30,139160494
2010-10-31,140296586
2010-11-30,140954445
2010-12-31,144979759
2011-01-31,146055268
2011-02-28,145445776
2011-03-31,148605175
2011-04-30,150219592
2011-05-31,151319292
2011-06-30,153529636
2011-07-31,156437585
2011-08-31,157424085
2011-09-30,158557577
2011-10-31,159073696
2011-11-30,161198512
2011-12-31,165436222
2012-01-31,164084110
2012-02-29,164206639
2012-03-31,165320917
2012-04-30,165377699
2012-05-31,167327772
2012-06-30,170766677
2012-07-31,170587847
2012-08-31,174241640
2012-09-30,176586642
2012-10-31,178262029
2012-11-30,182982816
2012-12-31,186614040
2013-01-31,186605403
2013-02-28,187322139
2013-03-31,187343015
2013-04-30,191209447
2013-05-31,192419554
2013-06-30,195716192
2013-07-31,197609963
2013-08-31,200597881
2013-09-30,200982593
2013-10-31,203833068
2013-11-30,207063363
2013-12-31,209904158
2014-01-31,209565176
2014-02-28,211590776
2014-03-31,213200077
2014-04-30,217992320
2014-05-31,217039036
2014-06-30,221922167
2014-07-31,222288218
2014-08-31,223630224
2014-09-30,223445189
2014-10-31,223616360
2014-11-30,225403326
2014-12-31,230528065
2015-01-31,233108064
2015-02-28,235164158
2015-03-31,237501319
2015-04-30,241647574
2015-05-31,243270427
2015-06-30,246431572
2015-07-31,245912762
2015-08-31,247678401
2015-09-30,248752036
2015-10-31,250282889
2015-11-30,250007865
2015-12-31,264623819
2016-01-31,267032486
2016-02-29,270027682
2016-03-31,270124801
2016-04-30,270540871
2016-05-31,269371819
2016-06-30,271349651
2016-07-31,273137352
2016-08-31,272377027
2016-09-30,274606425
2016-10-31,277180306
2016-11-30,279273800
2016-12-31,283536660
2017-01-31,282488652
2017-02-28,284217103
2017-03-31,285566924
2017-04-30,288114947
2017-05-31,286842436
2017-06-30,289797116
2017-07-31,289780664
2017-08-31,291003432
2017-09-30,294017707
2017-10-31,296770346
2017-11-30,297616383
2017-12-31,305897624
2018-01-31,303457637
2018-02-28,303987170
2018-03-31,304559122
2018-04-30,307634938
2018-05-31,308992789
2018-06-30,311686121
2018-07-31,312343436
2018-08-31,315400359
2018-09-30,317188355
2018-10-31,318071011
2018-11-30,320003501
2018-12-31,328936400
2019-01-31,326781834
2019-02-28,328485242
2019-03-31,331105574
2019-04-30,334436472
2019-05-31,334151163
2019-06-30,337380994
2019-07-31,336822877
2019-08-31,339469578
2019-09-30,342622037
2019-10-31,342326050
2019-11-30,344429065
2019-12-31,349684200
2020-01-31,350401661
2020-02-29,353786588
2020-03-31,361293756
2020-04-30,363612108
2020-05-31,366441042
2020-06-30,372431667
2020-07-31,373754337
2020-08-31,377984366
2020-09-30,380485219
2020-10-31,388534186
2020-11-30,390020634
2020-12-31,394066453
2021-01-31,396499044
2021-02-28,396800611
2021-03-31,397664244
2021-04-30,401995128
2021-05-31,404356551
2021-06-30,407031251
2021-07-31,413754453
2021-08-31,414011019
2021-09-30,416332042
2021-10-31,421985662
2021-11-30,426551987
2021-12-31,434597859
2022-01-31,437690666
2022-02-28,440483079
2022-03-31,444237871
2022-04-30,448629962
2022-05-31,449823406
2022-06-30,455996272
2022-07-31,463596995
2022-08-31,465832596
2022-09-30,470662028
2022-10-31,476174285
2022-11-30,480053347
2022-12-31,486323293
2023-01-31,488309235
2023-02-28,489867097
2023-03-31,494516228
2023-04-30,498679713
2023-05-31,499160374
2023-06-30,502657236
2023-07-31,504728093
2023-08-31,505851403
2023-09-30,510233326
2023-10-31,511121316
2023-11-30,513539172
2023-12-31,528223459
2024-01-31,530147575
2024-02-29,532782438
2024-03-31,534528139
2024-04-30,538580522
2024-05-31,539888679
2024-06-30,546821393
2024-07-31,547968698
2024-08-31,551796381
2024-09-30,555194606
2024-10-31,562221277
2024-11-30,566061637
2024-12-31,571911993
